verb	sentence	telicity	perfectivity	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25
verb1	control	telic	imperf	7	7	7	7	7	7	6	7	7	7	7	7	7	7	7	7	7	7	6	7	7	7	7	7	6
verb2	control	telic	perf	7	7	6	7	5	7	7	7	6	7	5	7	7	7	6	7	5	7	7	7	6	7	5	7	7
verb2	control	telic	imperf	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
verb3	control	atelic	perf	7	7	7	7	7	4	7	7	7	7	7	4	7	7	7	6	7	4	7	7	7	7	7	4	7
verb3	control	atelic	imperf	7	4	7	7	7	7	6	4	7	6	7	6	7	4	6	7	7	7	6	4	7	6	7	6	6
verb4	control	atelic	perf	7	7	7	7	5	7	7	7	7	7	5	7	7	7	7	7	5	7	7	7	7	7	5	7	7
verb4	control	atelic	imperf	7	7	7	7	7	7	7	7	6	7	7	7	7	5	7	7	7	7	6	7	6	7	7	7	7
verb5	control	telic	perf	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	6	7	7
verb5	control	telic	imperf	7	7	5	7	5	7	7	7	5	7	5	7	7	7	5	7	5	7	7	7	5	7	5	7	7
verb6	control	telic	perf	7	7	7	7	7	7	7	6	7	6	7	7	7	7	7	7	7	7	7	6	7	6	7	7	7
verb6	control	telic	imperf	7	7	7	7	4	7	7	7	7	7	4	7	7	7	7	7	4	7	6	7	7	7	4	7	7
verb7	control	atelic	perf	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	6	7	7	7	7	7	7	7
verb7	control	atelic	imperf	7	7	5	7	7	7	7	7	5	7	7	7	7	7	5	7	7	7	7	7	5	7	7	7	7
verb8	control	atelic	perf	7	7	7	4	7	7	5	7	7	4	7	7	7	7	7	4	7	7	7	7	6	4	7	7	7
verb8	control	atelic	imperf	7	7	7	7	6	7	7	7	7	7	6	7	7	7	7	7	6	7	7	7	7	7	6	7	7
verb9	filler_no	telic	perf	7	7	7	5	7	7	7	7	7	5	7	7	7	7	7	5	7	7	7	7	7	5	7	7	7
verb9	filler_no	telic	imperf	6	7	7	7	7	7	6	7	7	7	7	7	6	7	7	7	7	7	6	7	7	7	7	7	6
verb10	filler_no	telic	perf	7	7	6	7	5	7	7	7	6	7	5	7	7	7	6	7	5	7	7	7	6	7	5	7	7
verb10	filler_no	telic	imperf	7	7	7	7	7	6	7	7	7	7	7	6	7	7	7	7	7	6	7	7	7	7	7	6	7
verb11	filler_no	atelic	perf	6	7	6	6	7	4	6	7	6	6	7	4	6	7	6	6	7	4	6	7	6	6	7	4	6
verb11	filler_no	atelic	imperf	7	4	7	7	7	7	7	4	7	7	7	7	7	4	7	7	7	7	7	4	7	7	7	7	7
verb12	filler_no	atelic	perf	7	7	7	7	6	7	7	7	7	7	6	7	7	7	7	7	6	7	7	7	7	7	6	7	7
verb12	filler_no	atelic	imperf	7	7	7	7	7	6	7	7	7	7	7	6	7	7	7	7	7	6	7	7	7	7	7	6	7
verb13	filler_no	telic	perf	6	7	7	7	7	7	6	7	7	7	7	7	6	7	7	7	7	7	6	7	7	7	7	7	6
verb13	filler_no	telic	imperf	7	7	5	7	5	7	7	7	5	7	5	7	7	7	5	7	5	7	7	7	5	7	5	7	7
verb14	filler_no	telic	perf	7	7	7	6	7	7	7	7	7	6	5	7	7	7	7	6	7	7	7	7	7	6	5	7	7
verb14	filler_no	telic	imperf	7	7	7	6	4	6	7	7	7	6	4	6	7	7	7	6	4	6	7	7	7	6	4	6	7
verb15	filler_no	atelic	perf	6	7	6	7	7	7	6	7	6	7	7	7	6	7	6	7	7	7	6	7	6	7	7	7	6
verb15	filler_no	atelic	imperf	7	6	5	7	7	7	7	6	5	7	7	7	7	6	5	7	7	7	7	6	5	7	7	7	7
verb16	filler_no	atelic	perf	7	7	7	4	7	7	7	7	7	4	7	7	7	7	7	4	7	7	7	7	7	4	7	7	7
verb16	filler_no	atelic	imperf	7	7	7	7	6	7	7	7	7	7	6	7	7	7	7	7	6	7	7	7	7	7	6	7	7
verb9	filler_dobj	telic	perf	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
verb9	filler_dobj	telic	imperf	1	2	1	1	3	1	1	2	1	1	3	1	1	2	1	1	3	1	1	2	1	1	3	1	1
verb10	filler_dobj	telic	perf	1	1	1	2	1	1	1	1	2	2	1	1	1	1	1	2	1	1	1	1	2	2	1	1	1
verb10	filler_dobj	telic	imperf	2	2	1	1	1	1	2	2	1	2	1	1	2	2	1	1	1	1	2	2	1	2	1	1	2
verb11	filler_dobj	atelic	perf	1	1	2	1	4	2	1	1	2	1	4	2	1	1	2	1	4	2	1	1	2	1	4	2	1
verb11	filler_dobj	atelic	imperf	1	1	2	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1
verb12	filler_dobj	atelic	perf	2	1	1	2	1	1	2	1	1	2	1	1	2	1	1	2	1	1	2	1	1	2	1	1	2
verb12	filler_dobj	atelic	imperf	1	1	2	1	2	1	1	1	2	1	2	1	1	1	2	1	2	1	1	1	2	1	2	1	1
verb13	filler_dobj	telic	perf	1	2	1	1	1	1	1	2	1	1	2	1	1	2	1	1	1	1	1	2	1	1	2	1	1
verb13	filler_dobj	telic	imperf	1	1	2	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1
verb14	filler_dobj	telic	perf	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1
verb14	filler_dobj	telic	imperf	1	1	1	1	1	3	1	1	1	1	1	3	1	1	1	1	1	3	1	1	1	1	1	3	1
verb15	filler_dobj	atelic	perf	1	1	2	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1
verb15	filler_dobj	atelic	imperf	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1
verb16	filler_dobj	atelic	perf	1	2	1	1	2	4	1	2	1	1	2	4	1	2	1	1	2	4	1	2	1	1	2	4	1
verb16	filler_dobj	atelic	imperf	1	1	1	1	1	1	2	1	1	3	1	2	1	1	1	1	1	1	2	1	1	3	1	2	2
